Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1002099,-0.03234737,0.03243448,-0.1416769,0.0008232967,0.0007308555,0.01014229,-0.03583932,0.03776514,-0.8897441,-0.03788922,-0.0345666,0.000189146
2002532,0.008762527,-0.009200389,-2.192809,0.003176897,0.0008932161,0.009164664,0.02171022,-0.02842947,-2.17007,0.01113329,-0.004405537,0.0004669084
3002132,0.04816532,-0.05249315,-4.011428,0.01887545,0.01829895,0.003816283,-0.02828451,0.02651148,-1.164111,0.05942366,0.06386634,-0.000359802
4002565,0.1340999,-0.02010031,-4.705366,0.003539386,-0.09971917,0.003893815,0.3203595,0.0792501,-0.2722907,-0.01025221,-0.0668043,0.001333919
5002165,0.8647223,0.01446242,-4.876082,0.0003243469,-0.1489079,0.003331022,1.112073,0.05087459,-0.09956896,0.002251189,-0.02703343,0.0003505796
6002598,2.381261,0.0157079,-4.941397,-0.003995392,-0.2159559,0.01799143,1.907334,0.0294361,-0.04871074,0.002912101,-0.06882026,-0.01887379
7002198,4.770601,-0.001299795,-4.963949,0.0006749976,-0.2655907,0.004850498,2.802587,0.03006218,-0.029787,-0.0004339126,-0.014576,0.006374931
8002631,7.97002,-0.02392654,-4.972842,0.0006854484,-0.2794547,0.009395062,3.463135,0.01953422,-0.02387638,0.0083904,-0.01115886,-0.003309512
9002231,11.71732,-0.04168462,-4.97818,0.002829048,-0.2894237,0.008644315,3.891263,0.02848707,-0.01988537,0.006503643,-0.01736556,0.000887297
10002664,15.83684,-0.04890965,-4.981828,0.002835316,-0.2953594,0.008689496,4.182359,0.02473175,-0.01603305,0.005824601,-0.004790523,-0.002552063
11002264,20.18352,-0.05434654,-4.984976,0.003356619,-0.3001634,0.008071776,4.375914,0.0281806,-0.01569196,-0.001785463,-0.009336276,-0.001248704
12002697,24.69732,-0.05096928,-4.986163,0.004049908,-0.3041078,0.006998817,4.518818,0.02997219,-0.01220862,-0.003659734,-0.006303481,-0.002001692
13002297,29.3198,-0.0426519,-4.989327,0.003195955,-0.3084981,0.0057725,4.620161,0.02529982,-0.01054727,0.002492661,-0.0005866743,-0.001889293
14002730,34.03031,-0.03832474,-4.992445,0.004213922,-0.3102691,0.004742128,4.701359,0.02252661,-0.009904263,0.005106589,-0.003555109,-0.00148006
15002330,38.80594,-0.03892276,-4.99184,0.005064181,-0.3119553,0.00398802,4.758048,0.0153069,-0.004549129,0.004920471,0.003629214,-0.0008542099
