Time_us,accel_x,accel_y,accel_z
694281,0.105196305803794,-0.213589088993557,0.267415774265712
725053,0.109493309894471,-0.296671187089371,-0.171879965150085
734404,0.10651770961788,-0.110051799948404,-0.372213246714985
744658,0.136750419230245,-0.107176205379675,-0.337472740248847
754409,0.214599434873707,-0.0224189089080779,-0.291447940301964
765999,0.221605932171894,-0.013706983346769,-0.289906751080948
774858,0.21664475156775,0.0204233533359883,-0.224620900823369
784561,0.209653097225383,0.00264041490770389,-0.241400974435296
794390,0.182233502382853,-0.00051260873926865,-0.267546083820723
804909,0.151108623121437,-0.0376052844376525,-0.379358551424953
814483,0.169361538714869,-0.0345688094857133,-0.614336768579852
825666,0.196199667277824,-0.0282643806175845,-0.574465362801779
836031,0.200432162983277,-0.124178020661209,-0.50868613863851
845659,0.18576700034996,-0.0796045713221082,-0.587149374652675
855987,0.130170722790349,-0.133998170698852,-0.680314137827523
866819,0.118215290288862,-0.134891558145956,-0.798128232122792
876025,0.148045046034743,-0.153543071517873,-0.99893497159877
886019,0.195162319606342,-0.167298907593865,-1.09607185722941
895810,0.256849830766367,-0.182922659378655,-1.10879054278155
905810,0.329087355381303,-0.170263134590533,-0.940792518979569
915816,0.302106334052307,-0.148971676538787,-0.625216213254308
926029,0.255498847498177,-0.111878684727936,-0.434355279921249
935967,0.246654784794908,-0.0684617722437945,-0.417246443579247
945924,0.272271480698797,-0.141655657514921,-0.505753714046495
955883,0.280217078519338,-0.215396210005777,-0.63973566485193
965814,0.257651307643598,-0.342158405440444,-0.719709495631897
975969,0.164086024764894,-0.436101119489277,-0.679463917709749
986027,0.0870124517220899,-0.441564295961007,-0.578690294647258
995637,0.0697194371940522,-0.418234008348753,-0.573662214246152
1006169,0.0566734951915644,-0.360450277407214,-0.691888228470223
1016079,0.117858680329439,-0.347527434450159,-0.951764254900948
1026199,0.183581434881616,-0.377094710944725,-1.23125225757481
1038045,0.189781443248193,-0.427582707683174,-1.33330734365451
1047806,0.158260533265465,-0.337499450877397,-1.0871361897415
1058544,0.159714267014491,-0.373825782780802,-1.10662039872421
1067440,0.140934759355635,-0.33062327400546,-1.0672039485869
1077355,0.183753698082582,-0.323211049266586,-0.901376689721864
1087829,0.227502345103286,-0.272409123467204,-0.759282215751285
1097887,0.238327403686237,-0.247961764504877,-0.583547069519576
1107892,0.256999631600955,-0.273091357798279,-0.535008284832821
1117286,0.236530150166478,-0.28668799474116,-0.589427383056349
1127296,0.197627356220234,-0.370637264808888,-0.644213819265097
1137899,0.179217278154071,-0.393939532879604,-0.722542031783104
1147347,0.233466683581478,-0.482071295891506,-0.880585859993171
1157886,0.301407760891724,-0.341506668515387,-0.610665210340035
1167293,0.419021397836481,-0.191638994713987,-0.438762508164514
1178560,0.365122326345126,-0.151785040121082,-0.519204827943393
1188827,0.397058093814764,-0.211611241720399,-0.812574863264997
1198886,0.340603392934036,-0.356726907384241,-1.11491203615354
1209025,0.282695689828763,-0.471301336132845,-1.13885753982959
1219858,0.215161757929148,-0.540503341149845,-0.981369564320078
1230510,0.220530384056259,-0.463204357530633,-0.686717449054772
1239888,0.26101365173254,-0.279276838054703,-0.381502089566777
1249926,0.255914439695787,-0.201018138152945,-0.278063061176857
1260020,0.244369152896791,-0.236153089852116,-0.424945108176849
1273705,0.202239414920151,-0.340620626959261,-0.515913717692913
1282892,0.23245396901134,-0.441561907779306,-0.52018057235355
1292486,0.236186879478441,-0.349055074482205,-0.338665672317536
1302790,0.276815687190515,-0.237939915114448,-0.264235902337348
1312399,0.297339094462595,-0.196599713012735,-0.422459964288232
1322156,0.303781217913267,-0.220461101819274,-0.606000939767597
1332395,0.303091900839687,-0.298309292634914,-0.833095788227006
1342777,0.302047272663348,-0.486638587158897,-0.922131980986138
1352825,0.292022824784028,-0.578999666697188,-0.890135399753414
1362500,0.240312629410773,-0.571015915975418,-0.823226392608255
1372614,0.152819129033385,-0.560472621794623,-0.794443645323808
