Time_us,angl_accel_x,angl_accel_y,angl_accel_z
694281,-0.121658307813585,-0.353121269715935,0.165394252931275
725053,-1.19836666145186,-0.8739247995139,-0.0995573042990407
734404,-1.76769709663111,-1.07128684730445,-0.144025986054605
744658,-2.26860142069583,-1.18403494756663,-0.132664375594631
754409,-2.74322158023918,-1.14582135255616,-0.110396362819322
765999,-3.06078918255374,-1.05544784555647,-0.0814343583206946
774858,-3.6408061590734,-0.963866904888304,-0.0449880501828768
784561,-4.00089365700488,-0.925175121433386,0.0187367607768451
794390,-4.18348046586838,-0.898912930918759,0.0546862006273376
804909,-4.6001249327761,-0.934198241827369,0.0855913233798861
814483,-4.89206725422455,-0.883863441361881,0.0704744463491664
825666,-4.77037697734441,-0.735169050009256,0.139799438154793
836031,-4.51940687897325,-0.568079287653287,0.195255764648077
845659,-4.24054499137759,-0.464095403678034,0.215020011965392
855987,-4.00142996207552,-0.476823343363094,0.218969816901261
866819,-3.86135700878222,-0.554584531606894,0.207313932283299
876025,-3.54823527874038,-0.658827600525388,0.176865042245387
886019,-3.33970559515952,-0.78051899397673,0.130345689965454
895810,-3.20168053954235,-0.877511938771489,0.110980962598525
905810,-3.16684259786209,-1.00702935252878,0.082502756531911
915816,-3.17277477214352,-1.14716332448652,0.0838503207543262
926029,-3.20144688816933,-1.26186213125963,0.112520932791739
935967,-3.37769918432298,-1.384382057843,0.1181508678611
945924,-3.4379825605558,-1.46002457624001,0.137612275118385
955883,-3.3808449084308,-1.49975565314856,0.168866525349785
965814,-3.27044797065098,-1.52357135565112,0.197270609681404
975969,-3.05618871170515,-1.52444766812598,0.232980332265212
986027,-2.80423495826528,-1.50406921750186,0.253362388390978
995637,-2.64228512147759,-1.51494898309733,0.274785390139006
1006169,-2.54179051194679,-1.51049246583425,0.331942448156167
1016079,-2.48131599793298,-1.48759191547495,0.358633444080218
1026199,-2.48445076794027,-1.46219593243586,0.394353622964888
1038045,-2.50198532378048,-1.45842301866169,0.413410685917902
1047806,-2.55211665364543,-1.46834078620031,0.461003581021903
1058544,-2.61446450757885,-1.468926765415,0.493116430839854
1067440,-2.60067193234248,-1.47067543025881,0.524151933669078
1077355,-2.56941103376219,-1.4775925192115,0.539313841441367
1087829,-2.58639449716201,-1.46675535466661,0.582347877656232
1097887,-2.50547840436717,-1.44454256553591,0.612175198451136
1107892,-2.38931592566607,-1.41658483057264,0.629798963672513
1117286,-2.28544890316172,-1.40525331595277,0.648163002946363
1127296,-2.23975974542073,-1.39124252628803,0.611397880817042
1137899,-2.18231727074564,-1.38646452097842,0.541083258356819
1147347,-2.19360912902607,-1.27333853071712,0.433170627894501
1157886,-2.16890240694584,-1.12803597662943,0.370996109377311
1167293,-2.16208331518403,-0.982703479880859,0.347913052250472
1178560,-2.15734188790497,-0.893913343086882,0.344402798533971
1188827,-2.08715245135796,-0.840721676095408,0.302157441932782
1198886,-2.06179152961976,-0.766020625283726,0.26887906686357
1209025,-2.08120264753674,-0.769326763667918,0.24826316944038
1219858,-2.10525331658396,-0.79831244639197,0.237659751718079
1230510,-2.11768601775957,-0.845812970338899,0.276667649028549
1239888,-2.11787814562785,-0.879550487454424,0.378931877794561
1249926,-2.09932802995248,-1.09066837884334,0.490520479803831
1260020,-2.13862097065859,-1.29860830183504,0.547220912200215
1273705,-2.23028129655137,-1.46069906894679,0.571021581476664
1282892,-2.33713019207975,-1.55819894701462,0.575900295530791
