Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
4399906,0.8095896,-0.04252327,-4.854038,0.00361217,-0.1390976,6.281752,1.003174,0.01551278,-0.136832,0.001008645,-0.02982107,0.003459756
4500699,0.9116545,-0.04314898,-4.867458,0.003847287,-0.1418252,6.282859,1.066491,0.01821239,-0.1272003,0.005920073,-0.02636721,0.02865567
4600659,1.020192,-0.04267641,-4.879417,0.003397012,-0.1448115,0.005313548,1.126865,0.02184404,-0.113256,0.00155697,-0.03213572,0.06916039
4700619,1.134999,-0.041395,-4.889919,0.002258859,-0.1489309,0.0120894,1.18774,0.02475216,-0.102142,-0.00303954,-0.04574717,0.06258749
4800579,1.256355,-0.03943834,-4.899206,0.0008549916,-0.1541645,0.01684441,1.250401,0.02643546,-0.09488814,-0.008409369,-0.05570072,0.03769162
4900539,1.384818,-0.03703634,-4.907368,-0.0005052777,-0.1600997,0.01925346,1.316078,0.02984167,-0.08448488,-0.00992654,-0.06033261,0.01691928
5000499,1.520047,-0.03431998,-4.914584,-0.001764501,-0.1662181,0.02038237,1.382984,0.02895875,-0.07975726,-0.01093508,-0.06032291,0.008322665
5100459,1.66224,-0.03179995,-4.921086,-0.002658115,-0.172033,0.02063,1.447785,0.02793219,-0.07324685,-0.006975438,-0.05559994,-0.001044743
5200419,1.811204,-0.0289162,-4.926984,-0.003115039,-0.1771231,0.02012504,1.516173,0.02968501,-0.06805372,-0.003937339,-0.04713931,-0.007347178
5300379,1.96767,-0.02553337,-4.932061,-0.003470862,-0.1810057,0.01955719,1.586481,0.02683678,-0.06154836,-0.005616823,-0.03336911,-0.006908172
5400339,2.13085,-0.02249015,-4.936491,-0.003619813,-0.1835529,0.01873991,1.654858,0.02421369,-0.05774419,-0.001394294,-0.02163754,-0.01215688
5500299,2.300844,-0.01962012,-4.940506,-0.003361959,-0.185184,0.01724947,1.722062,0.02285402,-0.05428217,-5.516689e-06,-0.01331768,-0.01738217
5600259,2.477233,-0.01698695,-4.944077,-0.003102487,-0.1863835,0.01559261,1.78353,0.02089604,-0.05057097,-0.0007280406,-0.01156496,-0.01687079
5700219,2.660101,-0.01462978,-4.947256,-0.002813422,-0.1876745,0.0140717,1.843638,0.02183319,-0.04808076,0.0001959387,-0.01333432,-0.0146567
5800179,2.848573,-0.01211405,-4.950251,-0.00272515,-0.1891234,0.01302874,1.898771,0.02146889,-0.04592323,-0.002782735,-0.01543274,-0.008354696
5900139,3.042848,-0.009774154,-4.952751,-0.002870492,-0.1906225,0.01252228,1.954344,0.01910366,-0.04367062,-0.002019003,-0.01411261,-0.005417807
6000099,3.242611,-0.007330608,-4.955296,-0.002798483,-0.192073,0.01194445,2.004256,0.01892025,-0.04285407,-0.0004637811,-0.01500851,-0.007908137
6100059,3.448712,-0.004662341,-4.957488,-0.00268038,-0.1936014,0.01122351,2.05507,0.01586744,-0.04034629,0.0001582612,-0.01429426,-0.01043862
6200019,3.659845,-0.002361293,-4.959611,-0.002338101,-0.1948912,0.0101227,2.105973,0.01357446,-0.03800207,0.001706632,-0.01053203,-0.0143985
6299979,3.876909,-8.503789e-05,-4.961253,-0.001839914,-0.1957449,0.008773794,2.155436,0.01455079,-0.03649443,0.001700908,-0.006492835,-0.01525787
6399939,4.098123,0.00201116,-4.962804,-0.001584958,-0.1962799,0.007679887,2.200544,0.0123623,-0.03382874,-0.0004827669,-0.005889376,-0.01047743
6499899,4.324162,0.003860118,-4.963933,-0.001368826,-0.1968639,0.006944275,2.246385,0.01144563,-0.03183748,0.000223767,-0.005119256,-0.007885866
6600692,4.554351,0.00539276,-4.964985,-0.001227358,-0.1973556,0.006359261,2.28863,0.009830793,-0.03047769,0.0004079668,-0.004455891,-0.006985459
6700652,4.789742,0.006855118,-4.965797,-0.001049063,-0.1976496,0.005781146,2.329756,0.01305766,-0.03217121,-0.0006882275,-0.001431901,-0.006006144
6800612,5.0285,0.008457466,-4.966726,-0.001216337,-0.1979584,0.005627885,2.36663,0.01406872,-0.03128809,-0.002645088,-0.003939737,-0.0002110871
6900572,5.271849,0.009754833,-4.967331,-0.001514854,-0.1984753,0.005883445,2.404377,0.01403688,-0.02966876,-0.002084625,-0.004490581,0.002294899
7000532,5.518384,0.01074528,-4.967917,-0.001659292,-0.1989175,0.006049979,2.438833,0.01077623,-0.02777635,-9.488419e-05,-0.003610797,-0.0006754566
7100492,5.76965,0.01118956,-4.968321,-0.001450001,-0.199275,0.005642959,2.47399,0.007603411,-0.02976859,0.003002191,-0.002179652,-0.006994616
7200452,6.023462,0.0117067,-4.968935,-0.0008904439,-0.1994951,0.004770185,2.503891,0.005755122,-0.02949546,0.004288371,-0.002354378,-0.01033815
7300412,6.281043,0.0124967,-4.969242,-0.0002531815,-0.1998745,0.003866817,2.532545,0.004794039,-0.02835467,0.004032983,-0.003724167,-0.0104983
7400372,6.540709,0.01334914,-4.969629,0.0002549179,-0.2003844,0.003123821,2.560179,0.005217874,-0.02943837,0.002607409,-0.005509635,-0.008266577
7500332,6.804269,0.01444731,-4.969937,0.0004182499,-0.2008054,0.002769061,2.588687,0.007250798,-0.02903437,-0.0003585659,-0.002281812,-0.004527876
7600292,7.06928,0.01561393,-4.970397,0.000314447,-0.2010363,0.0027238,2.609646,0.008004221,-0.0275786,-0.001966301,-0.002500675,-0.00118724
7700252,7.337111,0.01695962,-4.97061,0.0001296647,-0.200892,0.002949453,2.633234,0.01152577,-0.02688186,-0.002526631,0.005537624,0.0006380756
7800212,7.606316,0.01859458,-4.970735,-0.0003665531,-0.2000321,0.003426122,2.654016,0.01343031,-0.02595533,-0.005190068,0.01045995,0.004464665
7900172,7.878489,0.01998417,-4.970811,-0.0009758302,-0.1989097,0.004143842,2.674657,0.01026131,-0.02689343,-0.003386621,0.01272557,0.004415332
8000132,8.151834,0.02125299,-4.97089,-0.001109879,-0.1978319,0.004403342,2.691745,0.0102911,-0.02543767,-0.0001881522,0.009843454,-0.0006860245
8100092,8.427826,0.02235749,-4.971076,-0.001105393,-0.1971396,0.004296179,2.705276,0.009597506,-0.02712863,6.437057e-05,0.005957823,-0.003605297
8200052,8.704753,0.02334676,-4.971441,-0.0009176292,-0.1967899,0.003982991,2.720377,0.008342478,-0.02709044,0.001153341,0.00317502,-0.004448276
8300012,8.984776,0.02392374,-4.971811,-0.0006977406,-0.1965153,0.003682612,2.732995,0.005392248,-0.02636025,0.001915155,0.003355881,-0.0048772
8399972,9.265251,0.02452505,-4.972324,-0.0002823533,-0.1963502,0.003176837,2.744681,0.004892761,-0.02528249,0.003361025,0.001451647,-0.006997239
8499932,9.548198,0.02545672,-4.97268,0.0001016394,-0.1963605,0.002617521,2.7577,0.003489246,-0.02639579,0.001870406,0.0006981055,-0.006978852
8599892,9.831178,0.02636511,-4.97316,0.0003645004,-0.1963345,0.002132349,2.768839,0.004925505,-0.02586686,0.001156313,0.0008094818,-0.005701835
8700685,10.11712,0.02756885,-4.973349,0.0004490925,-0.1962895,0.001921584,2.780796,0.003657305,-0.02585692,-0.0007027648,0.002269904,-0.002667828
8800645,10.40252,0.0285319,-4.973823,0.0004426638,-0.1960793,0.001855019,2.793965,0.004534044,-0.02446132,-0.0003846217,0.002836065,-0.002244346
8900605,10.68932,0.02946752,-4.974329,0.00038267,-0.1957377,0.001825908,2.80203,0.003667746,-0.02591107,-0.0009801469,0.004900277,-0.002314502
9000565,10.9765,0.03023741,-4.974819,0.0004357985,-0.1955412,0.001702942,2.811732,0.002185539,-0.02166957,0.0002867377,0.000864136,-0.003264798
9100525,11.26487,0.03095043,-4.975243,0.0005860513,-0.1955834,0.001484833,2.816739,0.003468717,-0.02629133,0.0004992272,-0.001461975,-0.004219673
9200485,11.55346,0.03177856,-4.975758,0.0005502495,-0.195779,0.001347888,2.826438,0.004594826,-0.02361849,-0.002271123,-0.001279024,-0.001556985
9300445,11.84309,0.032644,-4.976218,0.0003604456,-0.1958254,0.001525858,2.831333,0.005189343,-0.02283937,-0.00175594,0.0006540657,0.0008415496
9400405,12.13304,0.03343564,-4.976768,0.0001604175,-0.1958978,0.001797796,2.837909,0.00547344,-0.02372939,-0.00125027,-0.0008611392,0.001107238
9500365,12.42409,0.03405996,-4.977331,5.934426e-05,-0.1961043,0.00205637,2.844485,0.003804709,-0.02279902,-2.926495e-05,-0.001650265,-0.0003012815
9600325,12.71528,0.03451832,-4.977869,0.000237982,-0.1962899,0.00201749,2.852122,0.004173946,-0.02173286,0.003133904,-0.0002496623,-0.003516071
9700285,13.00737,0.03496648,-4.97824,0.0004927808,-0.196232,0.001780147,2.858479,0.004690748,-0.0204096,0.001566659,0.001822176,-0.004009063
9800245,13.29971,0.03541568,-4.978626,0.0005745608,-0.1961495,0.00167085,2.866241,0.004671119,-0.02124991,0.0002783866,0.000960947,-0.00168557
9900205,13.59305,0.03566425,-4.978928,0.0006325436,-0.1960492,0.001723662,2.870213,0.00235073,-0.01936342,0.0007688908,0.001459051,-0.001607588
10000165,13.8865,0.0356455,-4.979287,0.0009087605,-0.1959435,0.001551434,2.879194,-0.0002793453,-0.02123438,0.002592807,0.002625898,-0.004553312
10100125,14.18081,0.03548574,-4.979675,0.001344996,-0.1957221,0.001116347,2.883564,0.001395093,-0.02031703,0.003274451,0.002877412,-0.006858584
10200085,14.47462,0.03559938,-4.979968,0.001608888,-0.1956952,0.0007411357,2.884327,0.00342829,-0.01970449,0.0008438391,-0.0008345001,-0.003742247
