Time_us,angl_accel_z
1119552,0.0122471949211771
1139544,0.0190749623492663
1159536,0.0219913762642683
1179528,0.0162443821094752
1199520,0.0173616493814425
1219512,0.126787890398441
1239504,0.0981388448212711
1259496,0.065086850481096
1279488,0.043119970046002
1299480,0.0299028157720255
1319472,0.0215960011085692
1339464,0.0159237597036178
1359456,0.0114817030413839
1379448,0.0144462218078833
1399440,0.012522667063167
1419432,0.0209557609372031
1439424,0.0182002319575558
1459416,0.0172427006584335
1479408,0.0109014418045218
1499400,0.00955950331148769
1519392,0.00385295760861508
1579368,0.00285797107514566
1599360,0.000531202893387524
2299913,0.0034749803921379
2319905,0.0059608987160678
2339897,0.0068319268811372
2359889,0.00670856009103554
2379881,0.00604488297842632
2399873,0.00501328754103325
2419865,0.00796294880983334
2439857,0.00461774663094229
2619785,0.000453412115925972
2639777,0.00378393465428768
2659769,0.000753822769678694
2679761,0.0040242052039304
2699753,0.012144607836122
2719745,0.0120486889261476
2739737,0.00526818344242221
2759729,0.00537262179956337
2779721,0.00823387952992113
2799713,0.0144954447414023
2819705,0.00946369656618762
2839697,0.00872894261050991
2859689,0.012897390217709
2879681,0.00973975191668209
2899673,0.00102127619033457
2919665,0.000247945906975789
2939657,0.00600050293596169
2959649,0.00491860642426219
2979641,0.00120939139955527
3219545,0.000582693727873425
3239537,0.000870319989326911
3259529,0.00104173501171454
3279521,0.00129613992791384
3299513,0.00161884126415294
3319505,0.00178035183917401
3339497,0.00195037227805117
3359489,0.00181776170807565
3379481,0.00168342308018959
3399473,0.00149871978675343
3419465,0.00119660929893881
3439457,0.00101777814569965
3459449,0.00101605801301297
3479441,0.00101096690676575
3499433,0.000969474907838247
3519425,0.00106125370546724
3539417,0.00106649335749046
3559409,0.00111108584083591
3579401,0.00119787500574027
3599393,0.00125307529260348
3619385,0.00134808322429503
3639377,0.00138149284256979
3659369,0.00129404794212375
3679361,0.00124791184313913
3699353,0.00123529860329384
3719345,0.00114591360279413
3739337,0.000763527479978162
3759329,0.000368195655106463
3779321,0.000123338309009446
3859289,0.00017637448305126
3879281,0.000164858332529609
3899273,5.83886576715425e-05
3919265,8.58294122695425e-05
3939257,0.000346523792520858
3959249,0.00056955874739374
3979241,0.000582148625099725
3999233,0.000398256739143141
4019225,0.000369814868530494
4039217,0.000290775983169822
4059209,0.00014196976595898
4079201,6.18977200471107e-05
4100026,0.00015100891567325
4120018,9.41995869199952e-06
4179994,1.36782102408611e-05
4199986,0.0001431213455406
4219978,0.000236177758288704
4239970,0.000166363998393178
4259962,2.89589682433669e-05
4299946,7.88563561012963e-05
4319938,0.000261343541678479
4339930,0.000339342721355956
4359922,0.00022279180631593
4379914,5.04325225696721e-05
4399906,4.87983004668126e-05
4639810,0.00186131199662432
4799746,0.00386290548790914
4819738,0.00263640081000634
4899706,0.00128191419766539
4919698,0.00691838692553899
4939690,0.003441915524593
5079634,0.00482747313995309
5099626,0.0080498333945761
5119618,0.00960230540807967
5139610,0.00985393069610839
5159602,0.0089430119484691
5179594,0.00746729557780662
5199586,0.00588771113657805
5219578,0.00432603647215703
5239570,0.00307300252380459
5259562,0.00211058872893454
5279554,0.00145680536093952
5299546,0.00101410296209433
5319538,0.00061480355847586
5339530,0.000307159677343838
5359522,0.000253421328062697
5379514,0.00023049145658434
5399506,1.58949330845252e-05
5719378,0.00228078649282586
6019258,0.0284794797800777
6039250,0.0534333284538786
6059242,0.0725260051259067
6079234,0.0767556964265687
6099226,0.0706300002814642
6119218,0.0690998582989555
6139210,0.0690393775785322
6159202,0.0685255622845134
6180027,0.0666523413917007
6200019,0.0634105387825029
6220011,0.0288241753268219
6240003,0.00300292011317239
7139643,0.029331112864518
7159635,0.10060605412105
7179627,0.203119456764459
